case_id,legal_domain,case_type,combo_text
CASE-007500,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-007501,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007502,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-007503,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007504,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007505,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007506,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-007507,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-007508,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007509,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007510,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-007511,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-007512,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007513,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-007514,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-007515,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-007516,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007517,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-007518,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
